;NUTS_ID;neighbors
1355;BE23;BE32
1355;BE23;BE24
1355;BE23;BE25
1355;BE23;BE21
1355;BE23;NL34
1356;BE24;BE33
1356;BE24;BE32
1356;BE24;BE31
1356;BE24;BE10
1356;BE24;BE22
1356;BE24;BE23
1356;BE24;BE21
1357;BE25;BE32
1357;BE25;FRE1
1357;BE25;BE23
1357;BE25;NL34
1358;BE31;BE35
1358;BE31;BE33
1358;BE31;BE32
1358;BE31;BE24
1359;BE32;FRF2
1359;BE32;FRE2
1359;BE32;BE35
1359;BE32;FRE1
1359;BE32;BE31
1359;BE32;BE24
1359;BE32;BE23
1359;BE32;BE25
1360;BE33;LU00
1360;BE33;DEB2
1360;BE33;BE34
1360;BE33;BE35
1360;BE33;BE31
1360;BE33;DEA2
1360;BE33;BE24
1360;BE33;BE22
1360;BE33;NL42
1361;BE34;FRF3
1361;BE34;FRF2
1361;BE34;LU00
1361;BE34;BE35
1361;BE34;BE33
1362;BE35;FRF2
1362;BE35;BE34
1362;BE35;BE33
1362;BE35;BE32
1362;BE35;BE31
1363;BG31;BG41
1363;BG31;BG42
1363;BG31;BG34
1363;BG31;RS22
1363;BG31;BG32
1363;BG31;RO41
1363;BG31;RO31
1364;BG32;BG34
1364;BG32;BG31
1364;BG32;BG33
1364;BG32;RO31
1364;BG32;RO22
1365;BG33;BG34
1365;BG33;BG32
1365;BG33;RO22
1366;BG34;TR21
1366;BG34;BG42
1366;BG34;BG31
1366;BG34;BG32
1366;BG34;BG33
1367;BG41;EL52
1367;BG41;MK00
1367;BG41;EL51
1367;BG41;BG42
1367;BG41;RS22
1367;BG41;BG31
1368;BG42;EL51
1368;BG42;TR21
1368;BG42;BG41
1368;BG42;BG34
1368;BG42;BG31
1369;CH01;ITC1
1369;CH01;FRK2
1369;CH01;ITC2
1369;CH01;CH07
1369;CH01;CH06
1369;CH01;CH02
1369;CH01;FRC2
1467;DE50;DE92
1467;DE50;DE94
1467;DE50;DE93
1468;DE60;DE93
1468;DE60;DEF0
1469;DE71;DE12
1469;DE71;DEB3
1469;DE71;DE26
1469;DE71;DEB1
1469;DE71;DE72
1469;DE71;DE73
1470;DE72;DE71
1470;DE72;DEB1
1470;DE72;DE73
1470;DE72;DEA5
1471;DE73;DE91
1471;DE73;DE71
1471;DE73;DE26
1471;DE73;DE72
1471;DE73;DEG0
1471;DE73;DEA5
1471;DE73;DEA4
1472;DE80;DE40
1472;DE80;DE93
1472;DE80;PL42
1472;DE80;DEF0
1473;DE91;DE92
1473;DE91;DE93
1473;DE91;DEG0
1473;DE91;DE73
1473;DE91;DEA4
1473;DE91;DEE0
1474;DE92;DE91
1474;DE92;DE94
1474;DE92;DE93
1474;DE92;DE50
1474;DE92;DEA4
1475;DE93;DE91
1475;DE93;DE92
1475;DE93;DE40
1475;DE93;DE94
1475;DE93;DE50
1475;DE93;DE60
1475;DE93;DE80
1475;DE93;DEF0
1475;DE93;DEE0
1476;DE94;DE92
1476;DE94;NL21
1476;DE94;NL13
1476;DE94;NL11
1476;DE94;DE93
1476;DE94;DE50
1476;DE94;DEA4
1476;DE94;DEA3
1477;CZ07;SK02
1477;CZ07;SK03
1477;CZ07;CZ06
1477;CZ07;CZ08
1477;CZ07;CZ05
1477;CZ07;PL52
1477;CZ07;PL51
1478;CZ08;SK03
1478;CZ08;CZ07
1478;CZ08;PL22
1478;CZ08;PL52
1506;AL01;AL02
1506;AL01;MK00
1506;AL01;ME00
1507;AL02;AL03
1507;AL02;MK00
1507;AL02;AL01
1508;AL03;EL54
1508;AL03;EL53
1508;AL03;AL02
1508;AL03;MK00
1509;AT11;SI03
1509;AT11;HU22
1509;AT11;AT12
1509;AT11;SK01
1509;AT11;AT22
1510;AT12;AT11
1510;AT12;AT13
1510;AT12;SK01
1510;AT12;SK02
1510;AT12;CZ06
1510;AT12;AT31
1510;AT12;CZ03
1510;AT12;AT22
1511;AT13;AT12
1512;AT21;SI03
1512;AT21;ITH3
1512;AT21;SI04
1512;AT21;ITH4
1512;AT21;AT33
1512;AT21;AT22
1512;AT21;AT32
1513;AT22;SI03
1513;AT22;AT11
1513;AT22;AT12
1513;AT22;AT31
1513;AT22;AT21
1513;AT22;AT32
1514;AT31;AT12
1514;AT31;DE21
1514;AT31;DE22
1514;AT31;CZ03
1514;AT31;AT22
1514;AT31;AT32
1515;AT32;AT31
1515;AT32;DE21
1515;AT32;ITH1
1515;AT32;AT21
1515;AT32;AT33
1515;AT32;AT22
1516;AT33;DE27
1516;AT33;DE21
1516;AT33;ITH3
1516;AT33;ITH1
1516;AT33;AT21
1516;AT33;CH05
1516;AT33;AT34
1516;AT33;AT32
1517;AT34;DE14
1517;AT34;DE27
1517;AT34;CH05
1517;AT34;LI00
1517;AT34;AT33
1518;BE10;BE24
1519;BE21;BE24
1519;BE21;BE22
1519;BE21;BE23
1519;BE21;NL41
1519;BE21;NL34
1520;BE22;BE33
